V1,V2,lab,Marker,Cell_type
Exon,0.0254663673658952,H3K27ac-ex,H3K27ac,ex
Intergenic,0.316994349407849,H3K27ac-ex,H3K27ac,ex
Intron,0.508069510023996,H3K27ac-ex,H3K27ac,ex
Promoter,0.0953053641922749,H3K27ac-ex,H3K27ac,ex
UTR3,0.0167582630234538,H3K27ac-ex,H3K27ac,ex
UTR5,0.0374061459865315,H3K27ac-ex,H3K27ac,ex
Exon,0.0351127551307809,H3K27ac-in,H3K27ac,in
Intergenic,0.246070939031489,H3K27ac-in,H3K27ac,in
Intron,0.56124077586045,H3K27ac-in,H3K27ac,in
Promoter,0.0969262256604766,H3K27ac-in,H3K27ac,in
UTR3,0.0188895356478961,H3K27ac-in,H3K27ac,in
UTR5,0.0417597686689074,H3K27ac-in,H3K27ac,in
Exon,0.0128698765954989,H3K27me3-ex,H3K27me3,ex
Intergenic,0.660271836436093,H3K27me3-ex,H3K27me3,ex
Intron,0.288903220838227,H3K27me3-ex,H3K27me3,ex
Promoter,0.0250948154708045,H3K27me3-ex,H3K27me3,ex
UTR3,0.00752748204762913,H3K27me3-ex,H3K27me3,ex
UTR5,0.00533276861174749,H3K27me3-ex,H3K27me3,ex
Exon,0.011958833565758,H3K27me3-in,H3K27me3,in
Intergenic,0.637542167548322,H3K27me3-in,H3K27me3,in
Intron,0.314996455199171,H3K27me3-in,H3K27me3,in
Promoter,0.0233878946999385,H3K27me3-in,H3K27me3,in
UTR3,0.00755704792103274,H3K27me3-in,H3K27me3,in
UTR5,0.00455760106577748,H3K27me3-in,H3K27me3,in
Exon,0.0171228818580401,H3K4me1-ex,H3K4me1,ex
Intergenic,0.338494555700386,H3K4me1-ex,H3K4me1,ex
Intron,0.583718450053324,H3K4me1-ex,H3K4me1,ex
Promoter,0.0384919224236679,H3K4me1-ex,H3K4me1,ex
UTR3,0.0159049913760187,H3K4me1-ex,H3K4me1,ex
UTR5,0.00626719858856368,H3K4me1-ex,H3K4me1,ex
Exon,0.0217294812739808,H3K4me1-in,H3K4me1,in
Intergenic,0.28536342384818,H3K4me1-in,H3K4me1,in
Intron,0.62072536815837,H3K4me1-in,H3K4me1,in
Promoter,0.0470197173096081,H3K4me1-in,H3K4me1,in
UTR3,0.0162551907124469,H3K4me1-in,H3K4me1,in
UTR5,0.00890681869741475,H3K4me1-in,H3K4me1,in
Exon,0.0632989025177534,H3K4me3-ex,H3K4me3,ex
Intergenic,0.237669464170433,H3K4me3-ex,H3K4me3,ex
Intron,0.496675274370562,H3K4me3-ex,H3K4me3,ex
Promoter,0.109038089089735,H3K4me3-ex,H3K4me3,ex
UTR3,0.0183666881859264,H3K4me3-ex,H3K4me3,ex
UTR5,0.0749515816655907,H3K4me3-ex,H3K4me3,ex
Exon,0.0585850012966499,H3K4me3-in,H3K4me3,in
Intergenic,0.239856661244312,H3K4me3-in,H3K4me3,in
Intron,0.539005587382417,H3K4me3-in,H3K4me3,in
Promoter,0.0834335290095952,H3K4me3-in,H3K4me3,in
UTR3,0.0175401372091378,H3K4me3-in,H3K4me3,in
UTR5,0.0615790838578872,H3K4me3-in,H3K4me3,in
