#EXC Enhancers
#Created from output/EXC_5KB_STITCHED_REGION_MAP.txt
#Ranked by EXC.H3K27ac.sorted.bam
#Using cutoff of 11792.88 for Super-Enhancers
#Created on Aug 19 2022 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	EXC.H3K27ac.sorted.bam	enhancerRank	isSuper
231_peak_22426_lociStitched	chr11	118483000	118922600	231	388631	247890.44	1	1
125_peak_76094_lociStitched	chr18	25468400	25761000	125	274125	209472.34	2	1
163_peak_161531_lociStitched	chr6	113761200	114079000	163	287563	197194.9	3	1
194_peak_8399_lociStitched	chr10	108496600	108891600	194	327194	190034.5	4	1
168_peak_166876_lociStitched	chr7	49249000	49586600	168	280968	162486.88	5	1
156_peak_187998_lociStitched	chr9	36835400	37148600	156	227756	161360.64	6	1
140_peak_130157_lociStitched	chr4	46696600	46998800	140	270540	156207.18	7	1
178_peak_67582_lociStitched	chr17	4999200	5346400	178	267378	131172.16	8	1
149_peak_125806_lociStitched	chr3	136668000	136947000	149	249949	128367.9	9	1
168_peak_73793_lociStitched	chr17	86164600	86472200	168	250368	127777.04	10	1
172_peak_35221_lociStitched	chr13	42670800	42999400	172	241572	125426.62	11	1
154_peak_43620_lociStitched	chr14	23733800	24009000	154	239354	125160.96	12	1
83_peak_46943_lociStitched	chr14	64115000	64290400	83	157483	123253.58	13	1
110_peak_79732_lociStitched	chr18	64981000	65231200	110	200310	120371.22	14	1
146_peak_63286_lociStitched	chr16	34316200	34572400	146	222946	117083.4	15	1
100_peak_101960_lociStitched	chr2	7155600	7401400	100	167500	117049.96	16	1
83_peak_30504_lociStitched	chr12	100202800	100365800	83	141483	116642.8	17	1
110_peak_7162_lociStitched	chr10	90573000	90793000	110	168710	115786	18	1
94_peak_25148_lociStitched	chr12	29592600	29792200	94	189494	115428.68	19	1
113_peak_63241_lociStitched	chr16	34076000	34309200	113	183513	113288.56	20	1
116_peak_163628_lociStitched	chr6	135780600	135987400	116	180916	113243.68	21	1
64_peak_181788_lociStitched	chr8	93807600	93984000	64	159064	111520.08	22	1
105_peak_190489_lociStitched	chr9	56604600	56798800	105	163105	107878.1	23	1
133_peak_101699_lociStitched	chr2	6537200	6839800	133	245133	106787.54	24	1
129_peak_162376_lociStitched	chr6	118858600	119110000	129	199729	105085.2	25	1
127_peak_98404_lociStitched	chr1	168179600	168425800	127	196127	104831.96	26	1
77_peak_47046_lociStitched	chr14	64297200	64440400	77	130477	104034.8	27	1
88_peak_119768_lociStitched	chr3	55305000	55500800	88	161888	103558.62	28	1
96_peak_43914_lociStitched	chr14	25452400	25670600	96	162896	103492.26	29	1
126_peak_23534_lociStitched	chr12	5086800	5287800	126	179326	102288.9	30	1
99_peak_4731_lociStitched	chr10	69685400	69876200	99	164299	102020.76	31	1
101_peak_116724_lociStitched	chr2	178128000	178334200	101	168101	100728.7	32	1
103_peak_183494_lociStitched	chr8	117259600	117471800	103	183103	98991.3	33	1
97_peak_65858_lociStitched	chr16	84953800	85171200	97	197897	98547.42	34	1
96_peak_15968_lociStitched	chr11	67519000	67693600	96	148296	97985.52	35	1
100_peak_161191_lociStitched	chr6	112772400	112949200	100	154700	95206.8	36	1
92_peak_125182_lociStitched	chr3	126914000	127140800	92	175092	95187.96	37	1
135_peak_155781_lociStitched	chr6	39926400	40191200	135	189535	94877.84	38	1
122_peak_154871_lociStitched	chr6	32304800	32596000	122	202522	94115.84	39	1
91_peak_189781_lociStitched	chr9	49562000	49800200	91	182491	93969.9	40	1
88_peak_72674_lociStitched	chr17	70455400	70638200	88	135888	93045.2	41	1
88_peak_159206_lociStitched	chr6	90680800	90850400	88	151888	91940.16	42	1
101_peak_7297_lociStitched	chr10	90799600	90983800	101	165901	91455.3	43	1
91_peak_51396_lociStitched	chr15	27460400	27629800	91	148091	89307.68	44	1
53_peak_142988_lociStitched	chr5	36829000	36964200	53	108853	89150.88	45	1
68_peak_191382_lociStitched	chr9	62447800	62560600	68	103868	86720.64	46	1
100_peak_60650_lociStitched	chr16	9660600	9867400	100	150900	86649.2	47	1
81_peak_104408_lociStitched	chr2	33115800	33291800	81	132081	86310.4	48	1
89_peak_55725_lociStitched	chr15	77065400	77259400	89	159889	86271.8	49	1
92_peak_109963_lociStitched	chr2	104234400	104414200	92	142892	85207.22	50	1
84_peak_51558_lociStitched	chr15	27854400	28028800	84	159884	84601.44	51	1
99_peak_149888_lociStitched	chr5	125006400	125193000	99	141299	82234.62	52	1
97_peak_86260_lociStitched	chr19	57061600	57283800	97	142897	82036.24	53	1
96_peak_969_lociStitched	chr10	13968200	14149400	96	156696	79564.92	54	1
79_peak_101059_lociStitched	chr1	194607800	194785200	79	140679	78499.5	55	1
58_peak_10880_lociStitched	chr11	5956600	6079600	58	108058	77736	56	1
81_peak_159632_lociStitched	chr6	92375600	92550400	81	138281	77261.6	57	1
72_peak_188220_lociStitched	chr9	40268200	40409800	72	112872	75642.72	58	1
43_peak_158526_lociStitched	chr6	86025600	86126600	43	86243	75174.3	59	1
61_peak_79866_lociStitched	chr18	65559000	65681800	61	104861	74220.32	60	1
81_peak_80354_lociStitched	chr18	69363200	69520200	81	122081	72957.9	61	1
86_peak_134137_lociStitched	chr4	106908000	107059600	86	130286	72525.44	62	1
98_peak_14801_lociStitched	chr11	57005000	57184800	98	128898	70679.38	63	1
85_peak_172954_lociStitched	chr7	122291400	122439000	85	123685	70597.08	64	1
41_peak_115859_lociStitched	chr2	165811600	165890800	41	75641	70258.32	65	1
87_peak_17159_lociStitched	chr11	76408600	76548800	87	121887	69595.28	66	1
68_peak_132443_lociStitched	chr4	85241600	85380800	68	127268	69210.24	67	1
80_peak_131621_lociStitched	chr4	68786000	68957600	80	138080	69069	68	1
61_peak_135147_lociStitched	chr4	119946400	120081200	61	116061	68774.96	69	1
46_peak_25224_lociStitched	chr12	29845200	29962000	46	86846	66692.8	70	1
85_peak_16880_lociStitched	chr11	75165400	75300200	85	96485	66645.12	71	1
67_peak_171983_lociStitched	chr7	112199000	112321800	67	110867	66275.16	72	1
63_peak_32544_lociStitched	chr12	117157200	117278400	63	106863	66090.36	73	1
48_peak_51478_lociStitched	chr15	27736000	27848200	48	97048	65951.16	74	1
65_peak_72318_lociStitched	chr17	66314200	66455200	65	107265	65494.5	75	1
60_peak_195779_lociStitched	chr9	112053200	112183600	60	117460	64678.4	76	1
62_peak_13743_lociStitched	chr11	46199200	46317800	62	99262	64672.58	77	1
66_peak_149729_lociStitched	chr5	124145800	124261800	66	106866	64588.8	78	1
88_peak_92728_lociStitched	chr1	89456000	89631600	88	132888	64269.6	79	1
94_peak_148885_lociStitched	chr5	118562800	118768000	94	153294	64227.6	80	1
52_peak_171247_lociStitched	chr7	101410200	101523200	52	90052	63630.3	81	1
83_peak_126137_lociStitched	chr3	138736200	138869200	83	118683	63241.5	82	1
41_peak_23287_lociStitched	chr12	3805200	3899800	41	83841	63211.72	83	1
