#INH Enhancers
#Created from output/INH_5KB_STITCHED_REGION_MAP.txt
#Ranked by INH.H3K27ac.sorted.bam
#Using cutoff of 15595.8 for Super-Enhancers
#Created on Aug 19 2022 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	INH.H3K27ac.sorted.bam	enhancerRank	isSuper
169_peak_63907_lociStitched	chr18	25479800	25752400	169	253369	292935.96	1	1
320_peak_18996_lociStitched	chr11	118496400	118905400	320	369520	284786.7	2	1
169_peak_63081_lociStitched	chr18	13689800	13969000	169	243969	265770.48	3	1
172_peak_135154_lociStitched	chr6	54037800	54302800	172	227572	265000	4	1
181_peak_96333_lociStitched	chr2	135652000	135947800	181	230781	251459.58	5	1
117_peak_35628_lociStitched	chr14	25438200	25646600	117	186517	249829.92	6	1
185_peak_107675_lociStitched	chr3	136667200	136948000	185	245185	247412.88	7	1
233_peak_67302_lociStitched	chr18	64886000	65195400	233	260033	242631.48	8	1
125_peak_109473_lociStitched	chr4	8678800	8881400	125	186725	228472.02	9	1
111_peak_25321_lociStitched	chr12	99196800	99396800	111	180911	227140	10	1
185_peak_73153_lociStitched	chr19	57062400	57313400	185	213785	218445.3	11	1
76_peak_114076_lociStitched	chr4	85240600	85405800	76	156076	203328.16	12	1
134_peak_64941_lociStitched	chr18	36016000	36199200	134	161934	184977.04	13	1
136_peak_74224_lociStitched	chr1	22595800	22807800	136	170736	174984.8	14	1
98_peak_155039_lociStitched	chr8	93814400	93975000	98	139698	173544.36	15	1
108_peak_138627_lociStitched	chr6	112777200	112948400	108	153508	172278.56	16	1
90_peak_107946_lociStitched	chr3	138744200	138897000	90	138090	166964.56	17	1
97_peak_88956_lociStitched	chr2	35576400	35732400	97	141097	164829.6	18	1
119_peak_68016_lociStitched	chr18	69349800	69526400	119	154719	163619.9	19	1
109_peak_38146_lociStitched	chr14	63650000	63814800	109	146709	160762.4	20	1
131_peak_81879_lociStitched	chr1	151885200	152092400	131	167331	158860.24	21	1
66_peak_163195_lociStitched	chr9	62447400	62561000	66	103666	158846.88	22	1
97_peak_89927_lociStitched	chr2	52416600	52581400	97	116497	155225.12	23	1
165_peak_56038_lociStitched	chr17	4991200	5262800	165	206965	154730.52	24	1
130_peak_54874_lociStitched	chr16	89813200	90004600	130	148130	151014.6	25	1
79_peak_138862_lociStitched	chr6	113810000	113949200	79	113279	146744.64	26	1
72_peak_166186_lociStitched	chr9	103520400	103668000	72	110472	144603.72	27	1
81_peak_152251_lociStitched	chr8	57530800	57656800	81	109081	144433.8	28	1
77_peak_150592_lociStitched	chr8	22978600	23088200	77	102677	142501.92	29	1
87_peak_99752_lociStitched	chr2	178120400	178283600	87	145687	140400.96	30	1
80_peak_82065_lociStitched	chr1	152954000	153076600	80	110680	139923.38	31	1
100_peak_137422_lociStitched	chr6	90680800	90820200	100	130500	138326.62	32	1
128_peak_68818_lociStitched	chr18	78910600	79108200	128	161928	137094.88	33	1
71_peak_4606_lociStitched	chr10	67017000	67158000	71	112671	136361.1	34	1
