ml	CpG.number
chr1_4089485_4090010	0.64	1
chr1_4857335_4858663	0.01	80
chr1_6482844_6484093	0	9
chr1_9815650_9816234	0.04	6
chr1_10232491_10233409	0	22
chr1_10699905_10700426	0.37	4
chr1_11549653_11550484	0.5	2
chr1_11573404_11574138	0.11	3
chr1_11579824_11580930	0.25	9
chr1_12010117_12011024	0.03	2
chr1_12367725_12368646	0.04	9
chr1_12832915_12833472	0.02	3
chr1_13598962_13599847	0.47	8
chr1_15710131_15711015	0.27	17
chr1_16258121_16258898	0.21	8
chr1_16758763_16759341	0.22	4
chr1_16987242_16988105	0.28	9
chr1_17059860_17061006	0.47	6
chr1_18148001_18148962	0.09	3
chr1_20905554_20906681	0.03	17
chr1_20981185_20981939	0.11	11
chr1_21213791_21214705	0.07	7
chr1_21445709_21446332	0.29	1
chr1_22222737_22223282	0.05	2
chr1_22533256_22534185	0.05	24
chr1_22939771_22940383	0.14	7
chr1_23007907_23008562	0.49	5
chr1_23097935_23099209	0.13	10
chr1_23365786_23366136	0.23	4
chr1_23409825_23410401	0.01	2
chr1_23761682_23763437	0	111
chr1_23928074_23928790	0.34	7
chr1_23934776_23935545	0.08	10
chr1_23943116_23944080	0.21	4
chr1_23953703_23954488	0.17	20
chr1_23978040_23978854	0.14	10
chr1_25041894_25042599	0.25	7
chr1_25146131_25146828	0.02	4
chr1_26857289_26858070	0.16	4
chr1_27478774_27479504	0.01	4
chr1_27503496_27504301	0.19	5
chr1_27608151_27609280	0.08	13
chr1_30700311_30701789	0.16	19
chr1_30755378_30756280	0.04	6
chr1_31064984_31065663	0.03	11
chr1_31095610_31096530	0.3	7
chr1_32503234_32503890	0.1	7
chr1_33195026_33195649	0	2
chr1_33271287_33272254	0.06	12
chr1_33776106_33776794	0.13	17
chr1_34331528_34332314	0.11	7
chr1_34387682_34388272	0.81	8
chr1_34653880_34654672	0.41	10
chr1_35162247_35163284	0.56	3
chr1_35201967_35203121	0.01	10
chr1_35387552_35388394	0.4	12
